"resource","config","cores","id","metric","value"
"Expanse","v2206, 48",48,6,"solver",177.093343886
"Expanse","v2206, 48",48,9,"solver",176.441275522
"Expanse","v2206, 48",48,10,"solver",179.901937497
"Expanse","v2206, 48",48,4,"solver",178.182916107
"Expanse","v2206, 128",128,2,"solver",159.164317644
"Expanse","v2206, 128",128,8,"solver",156.398599625
"Expanse","v2206, 128",128,3,"solver",160.186115091
"Expanse","v2206, 128",128,1,"solver",156.619493407
"Expanse","v2206, 128",128,5,"solver",159.1268142
"Expanse","v2206, 128",128,7,"solver",441.526118873
"Expanse","v2206, 128",128,6,"solver",158.213380686
"Expanse","v2206, 128",128,9,"solver",159.544630063
"Expanse","v2206, 128",128,10,"solver",275.208472318
"Expanse","v2206, 128",128,4,"solver",158.99626481
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,2,"runtime",1360.53588073
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,8,"runtime",1322.889027935
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,3,"runtime",1325.230736222
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,1,"runtime",1342.424511128
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,5,"runtime",1345.414224742
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,7,"runtime",1342.739785586
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,6,"runtime",1340.135044918
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,9,"runtime",1324.384075274
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,10,"runtime",1406.66069944
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,4,"runtime",1342.525074111
"Ookami-OSS","v2206",48,2,"runtime",1821.364931212
"Ookami-OSS","v2206",48,8,"runtime",1717.664686316
"Ookami-OSS","v2206",48,3,"runtime",1788.97770418
"Ookami-OSS","v2206",48,5,"runtime",1671.517383633
"Ookami-OSS","v2206",48,7,"runtime",1741.70386784
"Ookami-OSS","v2206",48,6,"runtime",1767.338828061
"Ookami-OSS","v2206",48,9,"runtime",1862.73229719
"Ookami-OSS","v2206",48,10,"runtime",1674.224435303
"Ookami-OSS","v2206",48,4,"runtime",1680.448452483
"Amazon-Graviton3-48","v2206",48,8,"runtime",427.386252483
"Amazon-Graviton3-48","v2206",48,1,"runtime",437.944602169
"Amazon-Graviton3-48","v2206",48,5,"runtime",436.646462682
"Amazon-Graviton3-48","v2206",48,7,"runtime",416.980185552
"Amazon-Graviton3-48","v2206",48,6,"runtime",428.67535335
"Amazon-Graviton3-48","v2206",48,9,"runtime",422.5147921
"Amazon-Graviton3-48","v2206",48,10,"runtime",446.070372078
"Amazon-Graviton3-48","v2206",48,4,"runtime",422.407048496
